execTime = 0; time = 0
execTime = 0.00824037; time = 3.14777
execTime = 0.00871766; time = 3.15648
execTime = 0.00824111; time = 3.16473
execTime = 0.00853278; time = 3.17326
execTime = 0.00815963; time = 3.18142
execTime = 0.00826353; time = 3.18968
execTime = 0.00817994; time = 3.19786
execTime = 0.00807474; time = 3.20594
execTime = 0.0082085; time = 3.21414
execTime = 0.00831707; time = 3.22246
execTime = 0.00898771; time = 3.23145
execTime = 0.00818858; time = 3.23964
execTime = 0.00913748; time = 3.24878
execTime = 0.00833595; time = 3.25711
execTime = 0.00823007; time = 3.26534
execTime = 0.00812418; time = 3.27347
execTime = 0.0085891; time = 3.28205
execTime = 0.00925911; time = 3.29131
execTime = 0.00851009; time = 3.29982
execTime = 0.00856911; time = 3.30839
execTime = 0.00894255; time = 3.31734
execTime = 0.0086523; time = 3.32599
execTime = 0.00880571; time = 3.33479
execTime = 0.00863061; time = 3.34342
execTime = 0.00867234; time = 3.3521
execTime = 0.0095849; time = 3.36168
execTime = 0.00870308; time = 3.37038
execTime = 0.00854295; time = 3.37893
execTime = 0.00924402; time = 3.38817
execTime = 0.00874059; time = 3.39691
execTime = 0.00860954; time = 3.40552
execTime = 0.00937048; time = 3.41489
execTime = 0.00875518; time = 3.42365
execTime = 0.00860238; time = 3.43225
execTime = 0.00918017; time = 3.44143
execTime = 0.00844673; time = 3.44988
execTime = 0.00868618; time = 3.45856
execTime = 0.00938634; time = 3.46795
execTime = 0.00980284; time = 3.47775
execTime = 0.010094; time = 3.48785
execTime = 0.0099579; time = 3.4978
execTime = 0.00879465; time = 3.5066
execTime = 0.00871139; time = 3.51531
execTime = 0.00945519; time = 3.52477
execTime = 0.00866578; time = 3.53343
execTime = 0.00873205; time = 3.54216
execTime = 0.00924719; time = 3.55141
execTime = 0.00890623; time = 3.56032
execTime = 0.00881842; time = 3.56913
execTime = 0.00917015; time = 3.57831
execTime = 0.00854218; time = 3.58685
execTime = 0.00853639; time = 3.59538
execTime = 0.00845722; time = 3.60384
execTime = 0.0086754; time = 3.61252
execTime = 0.0100485; time = 3.62256
execTime = 0.00846099; time = 3.63103
execTime = 0.00935059; time = 3.64038
execTime = 0.00874663; time = 3.64912
execTime = 0.00865039; time = 3.65777
execTime = 0.00932372; time = 3.6671
execTime = 0.00894944; time = 3.67605
execTime = 0.00874328; time = 3.68479
execTime = 0.00858042; time = 3.69337
execTime = 0.00896437; time = 3.70233
execTime = 0.00861298; time = 3.71095
execTime = 0.00866609; time = 3.71961
execTime = 0.00941727; time = 3.72903
execTime = 0.00840498; time = 3.73744
execTime = 0.00854989; time = 3.74599
execTime = 0.00869708; time = 3.75468
execTime = 0.0083793; time = 3.76306
execTime = 0.00865125; time = 3.77171
execTime = 0.00852877; time = 3.78024
execTime = 0.0088168; time = 3.78906
execTime = 0.00876131; time = 3.79782
execTime = 0.008616; time = 3.80644
execTime = 0.00882742; time = 3.81526
execTime = 0.00861131; time = 3.82387
execTime = 0.00849733; time = 3.83237
execTime = 0.00857816; time = 3.84095
execTime = 0.00940785; time = 3.85036
execTime = 0.00869651; time = 3.85905
execTime = 0.00852354; time = 3.86758
execTime = 0.00857653; time = 3.87615
execTime = 0.009907; time = 3.88606
execTime = 0.00817537; time = 3.89424
execTime = 0.00844418; time = 3.90268
execTime = 0.00848; time = 3.91116
execTime = 0.00921621; time = 3.92038
execTime = 0.0085535; time = 3.92893
execTime = 0.00844655; time = 3.93738
execTime = 0.0084869; time = 3.94586
execTime = 0.00932744; time = 3.95519
execTime = 0.00856314; time = 3.96376
execTime = 0.00848424; time = 3.97224
execTime = 0.00852981; time = 3.98077
execTime = 0.00929137; time = 3.99006
execTime = 0.00845345; time = 3.99851
execTime = 0.0084586; time = 4.00697
execTime = 0.00855518; time = 4.01553
execTime = 0.00915254; time = 4.02468
execTime = 0.00856563; time = 4.03325
execTime = 0.00838231; time = 4.04163
execTime = 0.00837581; time = 4.05
execTime = 0.00839088; time = 4.0584
execTime = 0.00850416; time = 4.0669
execTime = 0.00838497; time = 4.07528
